sufficient,enough,enough,correct
expeditiously,rapidly,rapidly,correct
constantly,continually,continually,correct
concocted,devised,devised,correct
issues,subjects,subjects,correct
recognized,acknowledged,acknowledged,correct
marketed,sold,sold,correct
hailed,acclaimed,remembered,wrong
flawed,imperfect,imperfect,correct
narrow,thin,thin,correct
bigger,larger,larger,correct
debate,argument,argument,correct
make,earn,earn,correct
hasten,accelerate,accelerate,correct
command,mastery,mastery,correct
salutes,greetings,ceremonies,wrong
levied,imposed,imposed,correct
prospective,potential,potential,correct
highlight,accentuate,accentuate,correct
distribute,circulate,commercialize,wrong
