sufficient,enough,valuable,wrong
expeditiously,rapidly,repeatedly,wrong
constantly,continually,instantly,wrong
concocted,devised,devised,correct
issues,subjects,benefits,wrong
recognized,acknowledged,acknowledged,correct
marketed,sold,diluted,wrong
hailed,acclaimed,addressed,wrong
flawed,imperfect,imperfect,correct
narrow,thin,clear,wrong
bigger,larger,closer,wrong
debate,argument,election,wrong
make,earn,trade,wrong
hasten,accelerate,accelerate,correct
command,mastery,observation,wrong
salutes,greetings,ceremonies,wrong
levied,imposed,imposed,correct
prospective,potential,prominent,wrong
highlight,accentuate,alter,wrong
distribute,circulate,commercialize,wrong
